"state_name","canonical_code","frontend_code","existing_db_id","existing_db_code","status","action"
"Abia","NG-AB","NG-AB","e1f3322a-2ff2-5d8f-a7f9-0f10b6a58b7e","NG-AB","EXISTS_IN_DB","KEEP"
"Adamawa","NG-AD","NG-AD","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Akwa Ibom","NG-AK","NG-AK","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Anambra","NG-AN","NG-AN","4b9e645e-0be0-59f3-8daf-fa563b00a63a","NG-AN","EXISTS_IN_DB","KEEP"
"Bauchi","NG-BA","NG-BA","1574dbff-fec2-5c0c-a207-44ce9828124a","NG-BA","EXISTS_IN_DB","KEEP"
"Bayelsa","NG-BY","NG-BY","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Benue","NG-BE","NG-BE","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Borno","NG-BO","NG-BO","edbfb76e-fe8d-57db-9c41-676c6488b70f","NG-BO","EXISTS_IN_DB","KEEP"
"Cross River","NG-CR","NG-CR","06c31610-2944-50a7-9bfa-9c9c591abb3d","NG-CR","EXISTS_IN_DB","KEEP"
"Delta","NG-DE","NG-DE","18c6f4f8-dee1-5d49-affb-38fcaa2b4712","NG-DE","EXISTS_IN_DB","KEEP"
"Ebonyi","NG-EB","NG-EB","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Edo","NG-ED","NG-ED","9e8bb0a5-e7ab-58fc-b973-3207ca1cf733","NG-ED","EXISTS_IN_DB","KEEP"
"Ekiti","NG-EK","NG-EK","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Enugu","NG-EN","NG-EN","1f065bc8-115e-53d9-9280-1d9bd9babcae","NG-EN","EXISTS_IN_DB","KEEP"
"Federal Capital Territory (Abuja)","NG-FC","NG-FC","31000000-0000-4000-8000-000000000001","NG-FC","EXISTS_IN_DB","KEEP"
"Gombe","NG-GO","NG-GO","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Imo","NG-IM","NG-IM","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Jigawa","NG-JI","NG-JI","d28a7ee8-300b-554e-9244-c59afd284187","NG-JI","EXISTS_IN_DB","KEEP"
"Kaduna","NG-KD","NG-KD","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Kano","NG-KN","NG-KN","31000000-0000-4000-8000-000000000003","NG-KN","EXISTS_IN_DB","KEEP"
"Katsina","NG-KT","NG-KT","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Kebbi","NG-KB","NG-KB","198ef6d0-6a07-5900-9de1-7ff99c007e22","NG-KB","EXISTS_IN_DB","KEEP"
"Kogi","NG-KO","NG-KO","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Kwara","NG-KW","NG-KW","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Lagos","NG-LA","NG-LA","31000000-0000-4000-8000-000000000002","NG-LA","EXISTS_IN_DB","KEEP"
"Nasarawa","NG-NA","NG-NA","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Niger","NG-NI","NG-NI","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Ogun","NG-OG","NG-OG","c4e8ab3b-dde4-56ab-af79-e7178f4fd3f4","NG-OG","EXISTS_IN_DB","KEEP"
"Ondo","NG-ON","NG-ON","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Osun","NG-OS","NG-OS","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Oyo","NG-OY","NG-OY","c229dffa-5dbf-5602-bfc7-a8c59e38ab39","NG-OY","EXISTS_IN_DB","KEEP"
"Plateau","NG-PL","NG-PL","ed933b77-5ab0-575b-b8f6-aaf30ff1a724","NG-PL","EXISTS_IN_DB","KEEP"
"Rivers","NG-RI","NG-RI","31000000-0000-4000-8000-000000000004","NG-RI","EXISTS_IN_DB","KEEP"
"Sokoto","NG-SO","NG-SO","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Taraba","NG-TA","NG-TA","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Yobe","NG-YO","NG-YO","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
"Zamfara","NG-ZA","NG-ZA","NULL","NULL","MISSING_FROM_DB","INSERT_MISSING"
